id,pred
228941,ST
228992,RCM
229184,RCB
229217,RW
229319,ST
229436,RCB
229582,RCB
229650,LB
229849,RCM
229905,LCB
229915,ST
229925,LB
229930,RB
229949,ST
229980,RCB
230065,RDM
230075,LB
230211,RB
230217,RB
230222,RCB
230235,LCM
230239,RCM
230251,CDM
230257,RCM
230285,RCB
230294,ST
230341,LCB
230360,RB
230376,LCM
230379,RCB
230380,ST
230383,RCB
230388,RCB
230400,LCB
230417,RCM
230473,LM
230474,RW
230482,CAM
230522,CAM
230665,LCM
230737,ST
230876,RCM
230965,LDM
230967,LM
231005,RM
231027,LCM
231406,LM
231498,LCB
231507,LB
231638,ST
231835,ST
231933,RCM
232132,LCB
232144,LCB
232166,ST
232228,ST
232338,RCB
232415,RCM
232521,LCB
232546,LDM
232573,RCM
232622,ST
232656,LB
232670,ST
232687,LB
232693,RCB
232708,LB
232712,RCM
232849,LB
233029,RB
233195,LCM
233260,CAM
233493,RB
233532,LCM
233564,CDM
233780,RCB
233884,LCM
233948,RCM
234111,CAM
234148,RCB
234180,CAM
234184,RB
234258,LB
234278,RCB
234476,LS
234579,RS
234701,LB
234774,LB
234819,LM
234856,RB
234935,LB
234945,RCM
235008,RB
235210,LCM
235303,LB
235432,LCB
235467,CAM
235471,LW
235495,RB
235565,LCB
235570,LCM
235719,CAM
235751,LB
235844,RDM
235890,RCB
235899,RB
235949,LF
236073,LB
236221,RDM
236246,LCM
236255,RCB
236264,LCM
236310,LB
236427,LCM
236471,RCM
236524,RCB
236527,RDM
236593,LM
236637,LCM
236690,RCB
236696,RM
236845,LB
237208,RCM
237256,ST
237438,ST
237592,RB
237604,RCB
237715,ST
237764,RCM
237841,RB
238008,RCB
238011,LCM
238040,LCB
238041,LB
238062,RDM
238095,RCB
238179,LCB
238187,LCB
238195,RB
238511,RCB
238619,LCB
239099,LCM
239138,RM
239491,RM
239505,LM
239596,LCB
239642,RCM
239763,LM
239814,LCB
239842,ST
239919,RB
239945,LCM
240027,LW
240034,RCB
240150,RWB
240206,RM
240358,RCM
240393,LM
240608,LCB
240728,LCB
240754,RB
240801,ST
240953,RB
241043,LCB
241058,RCM
241130,ST
241131,RB
241159,RCB
241197,RCB
241471,ST
241569,LCB
241587,RCB
241704,LB
241812,RCB
241829,RCB
241927,LDM
241982,LCM
242002,LM
242056,RCM
242143,LDM
242187,LM
242279,LB
242280,RCM
242389,LW
242531,RB
242602,RCB
242643,RCB
242710,ST
242737,CAM
242835,RCB
242874,RB
243001,RCM
243127,CAM
243133,RB
243254,RCM
243608,LWB
243620,RB
243664,RCM
243807,LCM
243842,LWB
243862,LCM
243908,RCB
243959,RB
244093,LM
244114,RCB
244210,CM
244369,RW
244415,RCB
244470,RDM
244537,LCB
244829,LCM
244869,RM
245084,RB
245125,RCM
245214,RM
245336,LCB
245494,ST
245510,RB
245572,RB
245630,RCM
245902,ST
246104,CAM
246159,RB
246202,RB
246231,LM
246237,LS
246282,RCB
246324,RCM
246350,LCM
246415,LB
246427,RM
246450,RM
246608,LCM
246669,LDM
246693,CAM
246800,LM
246840,LB
246852,RCB
247050,LCM
247124,LB
247142,LCM
247195,LB
247376,RCB
247495,CDM
247641,LM
247819,LCB
247851,RCM
247904,RCB
248011,LW
248056,LB
248111,RCM
248265,LCB
248311,LCB
248327,RB
248434,ST
248588,RCM
248803,RWB
250823,RDM
250941,LB
251041,LB
251065,RCB
251085,RM
251287,LB
251289,RCB
251367,LM
251626,RB
251660,RB
251805,RB
251846,LB
252031,RM
252052,LM
252144,RCB
252371,RB
252434,RS
252692,ST
252793,RCB
252862,LCM
252959,LM
253034,RCB
253290,LB
253344,LCB
253351,LB
253378,LCB
253490,LB
253726,RB
253817,RCM
253927,ST
254028,RCB
254068,RS
254548,LB
254637,LM
254874,RB
255209,LB
255349,LCB
255479,RF
255526,RCM
255566,LB
255779,RB
255835,RM
255871,RCM
256001,RWB
256118,RB
256170,LM
256292,LCB
256316,LCB
256675,LM
256856,LB
257063,LM
257179,LCB
257316,LCB
258303,LM
258316,ST
258396,LCB
258400,RB
258560,ST
258632,RCM
258683,LCM
258881,RB
258889,RB
258982,ST
259322,RB
259345,ST
259685,RCB
259700,ST
259778,RM
259782,LCM
259847,RCB
259901,RCB
260149,LCM
260203,LCB
260308,LCM
260311,LCB
260474,RB
260575,LB
260619,LM
260708,RB
260818,LCB
261033,LCB
261172,LCM
261288,RCM
261307,LW
261477,LCB
261525,RCB
261948,LM
262353,RCB
262481,LM
262555,RCB
262579,LB
262581,RCB
262591,RB
262671,LB
262699,RM
262801,ST
262935,LCM
262955,LCB
262959,ST
262963,LM
263006,LWB
263049,LCM
263180,ST
263209,ST
263288,RW
263291,RB
263550,LCB
263808,CAM
263823,LCM
219793,GK
260018,GK
215223,GK
236649,GK
254714,GK
212432,GK
248284,GK
190780,GK
190745,GK
214680,GK
230173,GK
205849,GK
253688,GK
162052,GK
226786,GK
253844,GK
205409,GK
213413,GK
259729,GK
220433,GK
201112,GK
244191,GK
228413,GK
223150,GK
244467,GK
170597,GK
204334,GK
223952,GK
204308,GK
247479,GK
203215,GK
24630,GK
217441,GK
239358,GK
251185,GK
204502,GK
242514,GK
211033,GK
192665,GK
224599,GK
194150,GK
210368,GK
243647,GK
214584,GK
242703,GK
199493,GK
244656,GK
230175,GK
250781,GK
248000,GK
245074,GK
230172,GK
223690,GK
244524,GK
140233,GK
227275,GK
231720,GK
202778,GK
193336,GK
232229,GK
228607,GK
226379,GK
214983,GK
263023,GK
200698,GK
233154,GK
210257,GK
208719,GK
223175,GK
213729,GK
